Topology,N_Stage1,N_Stage2,Total_Elements,P1_bar,P2_bar,Overall_Recovery_Pct,Permeate_Flow_m3_h,Permeate_TDS_mg_L,Concentrate_TDS_mg_L,Overall_Salt_Rejection_Pct,Average_Flux_LMH,System_SEC_kWh_m3,Max_Element_Recovery_Pct,Max_Polarization_Modulus,Feasible,Near_70_Pct_Target
Concentrate Staging (A),2,2,12,20.0,30.0,90.83938241006642,27.251814723019926,8.842128185234186,22192.47605749437,99.5667747091997,61.37796108788271,0.9542790569063352,52.759339424476906,1.5939884406712665,False,False
Concentrate Staging (A),3,1,12,20.0,30.0,86.11587971963979,25.834763915891937,7.203256576409909,14655.569176457531,99.6470721912587,58.18640521597283,0.9273506124629962,32.730958817282826,1.5345604063613394,True,False
Concentrate Staging (A),3,2,15,20.0,30.0,93.87706475290524,28.16311942587157,13.507911361158607,33126.582063188085,99.33817190783152,50.74435932589472,0.8506829012069876,53.19046161822324,1.4881181388458828,False,False
Concentrate Staging (A),3,3,18,20.0,30.0,94.40002107440007,28.320006322320022,21.869780480018793,36077.90224677485,98.92847719353166,42.52253201549553,0.8459702963186567,61.75550960687403,1.4270961524419488,False,False
Concentrate Staging (A),4,1,15,20.0,30.0,92.36208877038906,27.70862663111672,11.035791019840792,26588.514213527804,99.45929490348648,49.92545338939949,0.8054054984639889,47.344803766593394,1.3947642774127262,False,False
Concentrate Staging (A),4,2,18,20.0,30.0,94.24081283023733,28.2722438490712,18.97128229280892,35128.591062031875,99.07049082347825,42.45081659019699,0.7893494539281242,53.22573372921321,1.3893142708387425,False,False
Concentrate Staging (A),5,1,18,20.0,30.0,93.79694269455565,28.139082808366695,16.174052570850964,32658.56066492706,99.20754274518123,42.250875087637674,0.7572099171515554,57.38448316336087,1.3844164904577287,False,False
Concentrate Staging (A),6,1,21,20.0,30.0,94.08890695260258,28.226672085780773,21.66394546343802,34183.468510959974,98.93856220169339,36.327763302163156,0.738942606551662,58.37516589583144,1.3786360247414906,False,False
Concentrate Staging (A),2,1,9,20.0,35.0,77.81835288530787,23.34550586559236,5.184180133506862,9183.11316502868,99.74599803363515,70.10662422099809,1.2415977137111693,32.20280559846564,1.768504980729658,True,False
Concentrate Staging (A),2,2,12,20.0,35.0,94.03934578015128,28.211803734045382,10.818898137107361,34070.52152444403,99.46992169832889,63.54009850010221,1.0274325945763911,57.913794651915175,1.7304628660106207,False,False
Concentrate Staging (A),3,1,12,20.0,35.0,89.62271230734099,26.886813692202296,7.679379457803731,19601.629944985452,99.62374426958336,60.555886694149315,0.9654507147917969,40.41126867473413,1.6648715974318113,False,False
Concentrate Staging (A),3,2,15,20.0,35.0,95.15823935108155,28.547471805324463,15.991039515288623,41839.80488163578,99.21650957788884,51.43688613571975,0.9092886990002772,60.81822154469892,1.590317254403972,False,False
Concentrate Staging (A),4,1,15,20.0,35.0,94.1214305808689,28.23642917426067,11.932565584500443,34528.27982197888,99.4153569042381,50.876448962631834,0.8333711190396266,47.344803766593394,1.4916300816897283,False,False
Concentrate Staging (A),5,1,18,20.0,35.0,94.8860009700999,28.465800291029968,17.22766438796112,39590.41341940312,99.15592041215281,42.74144187842338,0.7742247964821896,57.38448316336087,1.3844164904577287,False,False
Concentrate Staging (A),6,1,21,20.0,35.0,95.04769166030337,28.51430749809101,22.710703699357644,40777.226736606084,98.88727566392173,36.69795044799358,0.7496113846749601,58.37516589583144,1.3786360247414906,False,False
Concentrate Staging (A),2,1,9,25.0,15.0,66.22606125845982,19.867818377537947,5.460004841387498,6032.4147249759535,99.73248383922649,59.663118250864706,1.2576216191363732,27.374512341946023,1.536653747297093,True,False
Concentrate Staging (A),2,2,12,25.0,15.0,75.56653264061475,22.669959792184425,7.371853109930559,8330.49733087362,99.63881170456,51.058468000415374,1.102172132007079,27.374512341946023,1.536653747297093,True,False
Concentrate Staging (A),3,1,12,25.0,15.0,82.47696023179246,24.743088069537738,8.427198508831172,11607.85759630381,99.58710443366824,55.727675832292206,1.0098253640146166,47.97095276440782,1.5303978752067136,False,False
Concentrate Staging (A),3,2,15,25.0,15.0,85.68471679467052,25.705415038401156,11.862934381827417,14186.483418751552,99.4187685261231,46.316063132254335,0.9720207932585389,47.97095276440782,1.5303978752067136,False,False
Concentrate Staging (A),3,3,18,25.0,15.0,87.0945205637345,26.128356169120355,15.78538336772686,15708.457837993843,99.22658582225739,39.23176601970023,0.9562866395015105,47.97095276440782,1.5303978752067136,False,False
Concentrate Staging (A),2,1,9,25.0,20.0,71.70622555239663,21.511867665718988,5.424898734608944,7199.852439800319,99.73420388365464,64.60020320035731,1.1615076061705383,27.374512341946023,1.536653747297093,True,True
Concentrate Staging (A),2,2,12,25.0,20.0,83.82663222427121,25.14798966728136,7.960842231596096,12578.25038217123,99.60995383480666,56.63961636775082,0.9935664141446187,31.234696874811096,1.536653747297093,True,False
Concentrate Staging (A),3,1,12,25.0,20.0,86.46861180904227,25.94058354271268,8.708647976111836,15027.798510330022,99.57331465085194,58.424737708812344,0.963208783469556,47.97095276440782,1.5303978752067136,False,False
Concentrate Staging (A),3,2,15,25.0,20.0,90.15757554323301,27.047272662969906,13.360147448226117,20614.380368210048,99.34541168798499,48.7338246179638,0.9237973169426049,47.97095276440782,1.5303978752067136,False,False
